,Mean,Median,Std
PIDILITIND.NS,630.0,627.15,34.1097987695
PIIND.NS,843.817045455,829.575,36.9202360583
PNB.NS,128.047727273,126.7,10.6724158385
PNCINFRA.NS,105.088636364,105.05,1.07145107195
POLARIS.NS,156.156818182,157.45,5.99248163553
POWERGRID.NS,192.538636364,190.325,9.31276857666
PRAJIND.NS,81.8852272727,82.125,2.25707104775
PRESTIGE.NS,169.167045455,169.225,5.91490965138
PRISMCEM.NS,88.9170454545,88.625,8.15721212623
PTC.NS,79.8045454545,80.775,5.50376000632
PUNJLLOYD.NS,20.1136363636,20.15,1.00939560758
PVR.NS,1186.23977273,1184.65,86.9299942747
RADICO.NS,116.931818182,116.225,5.681109977
RAIN.NS,60.4238636364,55.225,8.6064638272
RAJESHEXPO.NS,479.829544773,495.40001,24.8352998543
RALLIS.NS,212.470455227,207.924995,18.177251004
RAMCOCEM.NS,599.306818182,604.1,65.0266587469
RAMCOSYS.NS,361.007954545,372.85,28.0996915964
RAYMOND.NS,501.170454545,506.025,16.2681752317
RCF.NS,53.3670454545,56.275,5.76285159531
RCOM.NS,33.8545454545,34.125,1.8187913883
RDEL.NS,56.5181818182,56.675,2.03941085055
RECLTD.NS,134.848863636,133.275,9.28908767541
REDINGTON.NS,99.3,100.7,3.90402296981
RELAXO.NS,415.563636364,410.275,16.1101634959
RELCAPITAL.NS,451.735227273,450.95,18.47943099
RELIANCE.NS,1052.76477273,1051.325,22.2689756543
RELIGARE.NS,249.952272727,249.475,5.72655944583
RELINFRA.NS,501.379545455,505.2,24.3130009201
RENUKA.NS,14.6931818182,15.075,1.07522798605
REPCOHOME.NS,611.870454545,619.8,74.9864641415
RIIL.NS,395.369318182,397.5,10.5648507617
RKFORGE.NS,342.985227273,345.775,40.4767024285
ROLTA.NS,64.45,64.375,2.6392167619
RPOWER.NS,43.3704545455,43.85,1.80517080883
RTNPOWER.NS,7.07045454545,7.05,0.295374846951
RUCHISOYA.NS,21.5590909091,20.125,2.69567424209
SADBHAV.NS,273.820454545,274.325,5.57334101066
SAIL.NS,56.6590909091,55.45,6.19887717446
SANOFI.NS,4204.39772727,4209.525,72.5250156959
SBBJ.NS,695.465909091,690.1,24.0556398955
SBIN.NS,257.527272727,255.55,10.3611834566
SBT.NS,544.455681818,538.8,19.0233064396
SCHNEIDER.NS,142.3,142.275,4.17498085221
SCI.NS,63.9375,65.575,4.04502457807
SEQUENT.NS,121.203409091,123.6,9.79729671856
SFCL.NS,98.1545454545,97.625,2.18769864698
SHARDACROP.NS,466.419318182,468.3,19.6463447571
SHILPAMED.NS,706.110227273,704.9,21.7005132817
SHK.NS,309.609090909,312.85,12.8466594732
SHOPERSTOP.NS,293.088636364,293.225,7.02694038117
SHREECEM.NS,14864.8636364,14802.85,820.753968203
SHRIRAMCIT.NS,1872.99659091,1848.85,91.1167819516
SIEMENS.NS,1147.3875,1156.775,45.7271027019
SIMPLEXINF.NS,290.540909091,288.5,14.9196034329
SINTEX.NS,82.3170454545,84.35,6.95782931251
SITINET.NS,38.0261363636,37.65,0.897314380388
SJVN.NS,31.3034090909,30.85,1.34809933935
SKFINDIA.NS,1283.93863636,1284.6,32.7220160287
SMLISUZU.NS,1148.36704545,1184.05,77.3001225541
SNOWMAN.NS,55.5034090909,55.925,3.70360286131
SOBHA.NS,258.163636364,259.375,9.52795985652
SOLARINDS.NS,695.459090909,700.4,20.1552470886
SOMANYCERA.NS,533.695454545,514.525,52.0009959857
SONATSOFTW.NS,195.334090909,196.475,11.8395315979
SOUTHBANK.NS,21.0090909091,21.225,0.99687142737
SPARC.NS,312.648863636,310.025,8.72188165529
SREINFRA.NS,82.7204545455,82.325,7.22822566749
SRF.NS,1605.32954545,1602.375,89.8125724859
SRTRANSFIN.NS,903.875,928.675,61.3966171138
STAR.NS,1109.38181818,1103.175,49.6932182577
STCINDIA.NS,183.688636364,196.375,39.0963387682
SUNDARMFIN.NS,1238.75454545,1224.25,81.261721028
SUNDRMFAST.NS,303.911363636,309.875,20.8154539628
SUNPHARMA.NS,641.332955,641.07501,17.4475739172
SUNTECK.NS,235.548863636,239.85,13.3784992755
SUNTV.NS,536.267045455,525.85,63.8466130143
