,0,1,2
IGARASHI,717.247727273,724.425,15.5314387559
IGARASHI.NS,716.602272727,721.325,15.269659282
IGL,902.0,901.5,24.8691145227
IGL.NS,902.388636364,901.5,25.2888641586
IIFL,260.486363636,261.925,3.93933707918
IIFL.NS,260.572727273,261.925,3.84468486766
INDHOTEL,97.5022727273,97.375,1.99842064264
INDHOTEL.NS,97.6454545455,97.475,1.91907151973
INDIACEM,116.197727273,113.075,5.91763863122
INDIACEM.NS,116.420454545,113.075,6.32503828505
INDIANB,224.361363636,224.85,12.8108950267
INDIANB.NS,224.454545455,224.85,12.8889848606
INDIGO,829.5,829.675,8.45987729282
INDIGO.NS,830.913636364,829.675,11.2802100392
INDOCO,262.631818182,261.875,5.91413853676
INDOCO.NS,262.388636364,261.875,5.53912344402
INDUSINDBK,1092.90681818,1085.775,26.6437578478
INDUSINDBK.NS,1094.35454545,1085.775,29.7830724897
INFIBEAM,1150.86590909,1160.575,40.1133821227
INFIBEAM.NS,1149.82954545,1160.575,38.9986008879
INFRATEL,345.631818182,345.2,8.56481653342
INFRATEL.NS,345.370454545,345.2,8.35480556171
INFY,992.956817727,995.0,11.9181186024
INFY.NS,992.79318,995.0,12.2238523869
INGERRAND,671.009090909,669.625,10.6552763183
INGERRAND.NS,670.604545455,669.025,10.5425770443
INOXLEISUR,225.431818182,227.85,4.95901164919
INOXLEISUR.NS,225.506818182,227.85,5.012895168
INOXWIND,189.640909091,185.475,8.59568879153
INOXWIND.NS,189.575,185.475,8.6492739855
INTELLECT,146.213636364,144.35,11.0013114134
INTELLECT.NS,146.152272727,144.125,11.005782866
IOB,24.6227272727,24.55,0.397829609592
IOB.NS,24.6340909091,24.675,0.398026788892
IOC,319.197727273,314.725,19.3827333401
IOC.NS,319.052272727,314.725,19.1833042319
IPAPPM,301.827272727,304.4,7.16686700616
IPAPPM.NS,302.034090909,304.4,7.37949840797
IPCALAB,536.122727273,537.35,8.91412372203
IPCALAB.NS,535.420454545,536.1,8.51777775472
IRB,199.631818182,197.375,8.41626183073
IRB.NS,199.690909091,197.375,8.52428793792
ITC,234.972726818,234.75,7.29449734166
ITC.NS,235.4,234.75,7.8910591419
ITDCEM,152.009090909,148.275,8.59838905681
ITDCEM.NS,152.184090909,148.275,8.85806582085
JAGRAN,171.875,169.8,5.35789915296
JAGRAN.NS,172.156818182,169.8,5.64223645827
JAICORPLTD,69.6545454545,68.3,3.22574867983
JAICORPLTD.NS,69.6295454545,68.3,3.19753100774
JBCHEPHARM,343.470454545,345.225,7.97873153618
JBCHEPHARM.NS,343.054545455,344.325,7.8056894557
JBFIND,209.095454545,208.3,5.10559704757
JBFIND.NS,209.354545455,208.3,5.5241872725
JCHAC,1409.29772727,1387.875,36.8735822238
JCHAC.NS,1411.46363636,1397.875,35.766754921
JETAIRWAYS,357.256818182,358.5,10.9730654598
JETAIRWAYS.NS,358.061363636,358.5,12.559837084
JINDALPOLY,333.938636364,337.7,13.2862167375
JINDALPOLY.NS,334.006818182,337.7,13.3831387828
JINDALSTEL,71.4977272727,71.85,3.05105279538
JINDALSTEL.NS,71.5863636364,71.85,3.12722994031
JISLJALEQS,86.9409090909,86.375,3.87764153786
JISLJALEQS.NS,87.2,86.375,4.30741332168
JKCEMENT,694.811363636,700.275,33.3453356909
JKCEMENT.NS,694.427272727,697.4,33.1566366526
JKIL,209.809090909,207.625,10.5941205209
JKIL.NS,209.731818182,207.625,10.4589508881
JKLAKSHMI,351.765909091,352.35,10.0426517363
JKLAKSHMI.NS,351.815909091,352.35,10.0745245234
JKTYRE,114.668181818,115.975,3.07476462338
JKTYRE.NS,114.790909091,115.4,3.29518538981
JMFINANCIL,67.3159090909,67.225,1.80299924489
JMFINANCIL.NS,67.3159090909,67.225,1.80359339492
JMTAUTOLTD,19.7409090909,19.2,0.982178865928
JMTAUTOLTD.NS,19.7522727273,19.2,0.972169551243
JPASSOCIAT,8.25681818182,7.725,1.17729466459
JPASSOCIAT.NS,8.27272727273,7.725,1.20837624942
JPINFRATEC,7.52727272727,7.4,0.464124181024
JPINFRATEC.NS,7.53863636364,7.4,0.483767904352
JPPOWER,3.95909090909,3.925,0.153247670406
JPPOWER.NS,3.95454545455,3.925,0.147929432106
JSWENERGY,60.3386363636,59.925,2.5647765993
JSWENERGY.NS,60.2431818182,59.925,2.38398902675
JSWHL,1370.30909091,1357.6,32.978144409
JSWHL.NS,1371.58863636,1357.6,34.9742487983
JSWSTEEL,8176.10909091,1644.55,7354.04727913
JSWSTEEL.NS,8176.10909091,1644.55,7354.04727913
JUBILANT,638.836363636,631.225,46.1450177412
JUBILANT.NS,638.368181818,631.225,45.4757275537
JUBLFOOD,836.277272727,838.975,21.7868884078
JUBLFOOD.NS,835.338636364,835.475,21.903581637
JUSTDIAL,357.325,351.1,22.486936684
JUSTDIAL.NS,358.002272727,351.1,23.1902148765
JYOTHYLAB,342.940909091,337.45,14.0085062285
JYOTHYLAB.NS,342.686363636,337.45,14.2222510259
KAJARIACER,470.190909091,473.45,20.7417260404
KAJARIACER.NS,471.7,473.45,22.9012840147
KALPATPOWR,245.915909091,241.575,11.5117578233
KALPATPOWR.NS,246.306818182,241.575,12.081226044
KANSAINER,329.345454545,329.15001,8.53609979372
KANSAINER.NS,329.281818636,329.15001,8.47546407393
KARURVYSYA,91.03,91.03,1.45452735216e-14
KARURVYSYA.NS,91.03,91.03,1.45452735216e-14
KEC,139.4,139.4,3.96358423652
KEC.NS,139.331818182,139.4,3.89207208415
KESORAMIND,130.527272273,130.025,6.46701644946
KESORAMIND.NS,130.568180455,130.025,6.63323922653
KITEX,407.856818182,407.675,5.41011608569
KITEX.NS,409.322727273,407.675,8.5026848319
KOLTEPATIL,89.2,89.75,4.86775102075
KOLTEPATIL.NS,89.2704545455,89.75,4.89982164619
KOTAKBANK,716.188636364,716.85,8.44149236155
KOTAKBANK.NS,715.652272727,714.1,8.59096254478
KPIT,135.647727273,135.525,1.81780069057
KPIT.NS,135.956818182,136.175,1.92881011029
KPRMILL,1129.9,1129.9,2.32724376346e-13
KPRMILL.NS,564.95,564.95,1.16362188173e-13
KRBL,295.697727273,296.35,12.1436195012
