Date,index,Open,High,Low,Close,Volume,Adj Close,SMA20,SMA50,SMA200,BBAND,MACD,MACD_Signal,MACD_Hist,OBV,MFI,RSI,ADX,WILLR,DAILY_RETURN,OC_DAILY_RETURN
2013-11-15,2921,339.9,339.9,339.9,339.9,0,333.597,349.335,339.781,315.585,0.13882412574,0.158895519198,3.10744354809,-2.94854802889,145912600,57.1943352441,46.5279390064,16.8085181712,-74.26067908,0.0,0.00718571746055
2013-11-18,2922,342.4,347.0,340.8,345.25,3642700,338.848,348.95,340.411,315.73025,0.376483908549,0.211821407635,2.52831912,-2.31649771236,149555300,61.1861851611,50.8733482564,15.7514812248,-62.5410733844,0.0157399235069,0.0115475139747
2013-11-19,2923,346.5,353.95,346.05,351.6,4973400,345.08,348.9225,340.676,315.87675,0.384611809483,0.757426346921,2.17414056538,-1.41671421846,154528700,50.6767188942,55.4961567719,15.2024052519,-48.6308871851,0.0183924692252,0.0151966843598
2013-11-20,2924,352.1,353.05,341.9,344.4,3844200,338.014,348.75,340.862,315.969,0.0110207926787,0.601903990556,1.85969325042,-1.25778925986,150684500,35.4995405888,49.7766585049,14.2316143741,-64.4030668127,-0.0204778156997,-0.00229193525283
2013-11-21,2925,340.95,343.95,336.6,338.65,2233500,332.371,348.2,341.063,316.10375,-0.2898126233,0.01450722713,1.49065604576,-1.47614881863,148451000,25.6133612775,45.7238348825,13.6508237324,-73.1113956466,-0.0166957026713,-0.024264178033
2013-11-22,2926,339.6,346.9,335.0,335.9,3294600,329.671,347.82,341.266,316.2,-0.331165784906,-0.665242456205,1.05947634537,-1.72471880157,145156400,23.9021789867,43.8835573545,12.7817436014,-79.250334672,-0.00812047837,-0.00603296056504
2013-11-25,2927,339.45,341.7,330.0,336.15,3169300,329.917,347.6575,341.274,316.31225,-0.217219392752,-1.17028574137,0.61352392802,-1.78380966939,148325700,25.2237211696,44.1038068409,12.4925233568,-78.1420765027,0.000744269127717,0.000148038490007
2013-11-26,2928,336.0,340.55,325.0,327.05,6197400,320.986,346.95,341.069,316.40975,-0.418759347401,-2.27856426118,0.0351062901797,-2.31367055136,142128300,24.9691155681,38.2230153193,12.7026148881,-93.8805970149,-0.0270712479548,-0.018576080521
2013-11-27,2929,328.0,329.4,318.55,321.9,6326200,315.931,345.045,340.755,316.49925,-0.393391537195,-3.53173330934,-0.678261629725,-2.85347167962,135802100,23.6890604243,35.3502342988,13.4568062373,-90.5367231638,-0.0157468277022,-0.0198325918106
2013-11-28,2930,326.7,326.8,321.3,323.6,5808500,317.6,342.87,340.141,316.63625,-0.22040115652,-4.33770070252,-1.41014944428,-2.92755125824,141610600,33.2234610132,37.0325973949,14.1571267758,-85.7344632768,0.00528114321218,0.000615479304508
