,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
PRISMCEM,260,79,181,2016-12-27,2017-01-02,77.98,0.01,77.25,79.85,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,83.35,0.02,79.85,84.2,0.05,0.01,-0.0,0.04
WOCKPHARMA,219,40,179,2016-12-27,2017-01-02,651.88,0.0,640.6,666.4,0.04,0.01,0.0,0.01,2017-01-02,2017-01-06,676.54,0.02,666.4,710.9,0.06,0.02,-0.0,0.05
DENABANK,302,123,179,2016-12-27,2017-01-02,32.38,0.01,32.05,33.05,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,33.66,0.01,33.05,34.3,0.04,0.01,-0.0,0.03
SUNTV,227,49,178,2016-12-27,2017-01-02,488.87,0.01,482.25,501.6,0.04,0.01,-0.01,0.02,2017-01-02,2017-01-06,522.67,0.02,501.6,532.05,0.06,0.01,-0.0,0.04
VINATIORGA,238,60,178,2016-12-27,2017-01-02,580.45,0.01,575.55,596.45,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,608.25,0.02,596.45,626.4,0.05,0.01,-0.0,0.05
APLLTD,460,283,177,2016-12-27,2017-01-02,603.24,0.01,608.4,601.5,-0.01,-0.0,-0.01,0.01,2017-01-02,2017-01-06,604.09,0.0,601.5,606.6,0.01,0.0,-0.0,0.01
ADANIPORTS,286,109,177,2016-12-27,2017-01-02,268.47,0.01,266.95,273.8,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,279.24,0.02,273.8,286.05,0.04,0.01,-0.01,0.04
MONSANTO,445,269,176,2016-12-27,2017-01-02,2243.5,0.0,2248.7,2245.25,-0.0,-0.0,-0.0,0.0,2017-01-02,2017-01-06,2255.48,0.0,2245.25,2260.85,0.01,0.0,-0.0,0.01
JSWSTEEL,296,120,176,2016-12-27,2017-01-02,1605.38,0.01,1580.2,1634.3,0.03,0.01,0.0,0.02,2016-12-28,2017-01-03,1618.25,0.0,1585.15,1644.55,0.04,0.01,0.0,0.02
SNOWMAN,201,27,174,2016-12-27,2017-01-02,50.22,0.01,49.55,51.7,0.04,0.01,0.0,0.03,2017-01-02,2017-01-06,54.72,0.03,51.7,55.2,0.07,0.02,-0.02,0.06
PTC,255,85,170,2016-12-27,2017-01-02,73.02,0.01,71.5,73.8,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,75.52,0.03,73.8,77.6,0.05,0.01,-0.01,0.06
SINTEX,186,16,170,2016-12-27,2017-01-02,73.59,0.01,71.95,75.15,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,80.47,0.03,75.15,82.2,0.09,0.02,-0.01,0.07
SBT,486,317,169,2016-12-27,2017-01-02,529.18,0.01,535.5,520.5,-0.03,-0.01,-0.02,0.01,2017-01-02,2017-01-06,519.5,0.0,520.5,522.05,0.0,0.0,-0.01,0.01
HEROMOTOCO,432,263,169,2016-12-27,2017-01-02,3029.42,0.01,3034.95,3030.55,-0.0,-0.0,-0.01,0.01,2017-01-02,2017-01-06,3032.26,0.01,3030.55,3067.55,0.01,0.0,-0.01,0.02
GLENMARK,469,302,167,2016-12-27,2017-01-02,889.64,0.01,890.2,884.0,-0.01,-0.0,-0.01,0.01,2017-01-02,2017-01-06,893.29,0.01,884.0,892.65,0.01,0.0,-0.01,0.01
RAJESHEXPO,181,19,162,2016-12-27,2017-01-02,456.73,0.0,447.3,466.2,0.04,0.01,0.01,0.01,2017-01-02,2017-01-06,488.41,0.02,466.2,504.75,0.08,0.02,-0.01,0.04
ABB,437,276,161,2016-12-27,2017-01-02,1035.01,0.01,1034.6,1036.9,0.0,0.0,-0.01,0.02,2017-01-02,2017-01-06,1040.2,0.01,1036.9,1044.35,0.01,0.0,-0.01,0.01
PFS,315,156,159,2016-12-27,2017-01-02,37.18,0.01,36.85,37.75,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,38.58,0.01,37.75,38.95,0.03,0.01,-0.01,0.02
APARINDS,243,86,157,2016-12-27,2017-01-02,573.08,0.0,567.15,581.8,0.03,0.01,-0.0,0.01,2017-01-02,2017-01-06,615.22,0.06,581.8,613.1,0.05,0.01,-0.06,0.1
SBBJ,476,322,154,2016-12-27,2017-01-02,674.33,0.01,679.15,666.95,-0.02,-0.0,-0.02,0.01,2017-01-02,2017-01-06,665.08,0.0,666.95,667.8,0.0,0.0,-0.01,0.01
NHPC,359,206,153,2016-12-27,2017-01-02,26.5,0.01,26.35,26.8,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,27.25,0.01,26.8,27.25,0.02,0.0,-0.01,0.02
ALBK,264,112,152,2016-12-27,2017-01-02,59.68,0.01,59.2,60.9,0.03,0.01,-0.01,0.01,2017-01-02,2017-01-06,62.34,0.01,60.9,63.3,0.04,0.01,-0.0,0.02
RPOWER,235,83,152,2016-12-27,2017-01-02,40.74,0.01,40.1,41.9,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,42.7,0.01,41.9,43.9,0.05,0.01,0.0,0.02
PUNJLLOYD,246,96,150,2016-12-27,2017-01-02,18.7,0.01,18.5,19.1,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,19.65,0.02,19.1,19.9,0.04,0.01,-0.02,0.04
ASHOKLEY,230,80,150,2016-12-27,2017-01-02,79.28,0.0,78.05,81.0,0.04,0.01,0.0,0.01,2017-01-02,2017-01-06,83.03,0.01,81.0,85.3,0.05,0.01,0.0,0.03
STAR,323,174,149,2016-12-27,2017-01-02,1053.93,0.02,1043.25,1068.45,0.02,0.01,-0.01,0.03,2017-01-02,2017-01-06,1076.82,0.02,1068.45,1098.85,0.03,0.01,-0.02,0.02
VEDL,277,129,148,2016-12-27,2017-01-02,216.13,0.02,214.65,220.95,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,223.13,0.02,220.95,230.6,0.04,0.01,-0.01,0.05
LAXMIMACH,444,297,147,2016-12-27,2017-01-02,3940.29,0.01,3932.95,3934.7,0.0,0.0,-0.01,0.01,2017-01-02,2017-01-06,3996.25,0.01,3934.7,3987.6,0.01,0.0,-0.0,0.02
SHK,251,104,147,2016-12-27,2017-01-02,304.09,0.01,296.35,306.45,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,317.65,0.05,306.45,317.6,0.04,0.01,-0.04,0.09
ALKEM,382,239,143,2016-12-27,2017-01-02,1619.79,0.0,1607.55,1622.25,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,1653.32,0.01,1622.25,1659.9,0.02,0.01,-0.0,0.02
ZEEL,305,162,143,2016-12-27,2017-01-02,446.33,0.01,436.3,451.6,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,460.46,0.02,451.6,463.1,0.03,0.01,-0.02,0.03
ENGINERSIN,488,352,136,2016-12-27,2017-01-02,224.67,0.29,318.85,153.45,-0.73,-0.18,-0.68,0.04,2017-01-02,2017-01-06,153.96,0.01,153.45,152.95,-0.0,-0.0,-0.01,0.01
HDFC,459,324,135,2016-12-27,2017-01-02,1241.4,0.02,1232.15,1217.1,-0.01,-0.0,-0.04,0.02,2017-01-02,2017-01-06,1216.55,0.0,1217.1,1222.35,0.0,0.0,-0.0,0.0
MAYURUNIQ,446,313,133,2016-12-27,2017-01-02,340.43,0.0,341.05,340.95,-0.0,-0.0,-0.0,0.0,2017-01-02,2017-01-06,342.63,0.0,340.95,342.95,0.01,0.0,-0.0,0.01
AMARAJABAT,249,116,133,2016-12-27,2017-01-02,876.17,0.01,869.6,896.6,0.03,0.01,-0.0,0.03,2017-01-02,2017-01-06,907.5,0.01,896.6,930.4,0.04,0.01,-0.01,0.02
MYSOREBANK,481,350,131,2016-12-27,2017-01-02,530.28,0.01,535.1,523.1,-0.02,-0.01,-0.02,0.01,2017-01-02,2017-01-06,521.67,0.0,523.1,524.4,0.0,0.0,-0.0,0.01
ORIENTBANK,326,196,130,2016-12-27,2017-01-02,104.89,0.02,105.15,106.8,0.02,0.0,-0.01,0.03,2017-01-02,2017-01-06,108.29,0.01,106.8,110.2,0.03,0.01,-0.01,0.03
