Symbol,Start_Price,Mean_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Volatility
PIDILITIND.NS,587.0,636.68,663.1,0.12,0.0,-0.02,0.05,0.02
SOBHA.NS,247.0,260.76,277.7,0.12,0.0,-0.02,0.03,0.01
PFC.NS,119.7,130.73,135.45,0.12,0.0,-0.04,0.04,0.02
MOTHERSUMI.NS,309.1,329.36,348.85,0.12,0.0,-0.03,0.04,0.01
WABCOINDIA.NS,4910.5,5281.08,5533.85,0.12,0.0,-0.02,0.11,0.03
NCC.NS,78.0,82.66,87.4,0.11,0.0,-0.04,0.04,0.02
TIDEWATER.NS,5510.95,5876.42,6170.05,0.11,0.0,-0.03,0.07,0.02
ARVIND.NS,339.6,362.99,379.95,0.11,0.0,-0.04,0.06,0.02
KARURVYSYA.NS,82.55,84.42,92.3,0.11,0.0,-0.02,0.03,0.01
WONDERLA.NS,340.45,357.21,379.5,0.11,0.0,-0.03,0.03,0.02
TV18BRDCST.NS,36.25,37.4,40.35,0.11,0.0,-0.03,0.07,0.02
JAGRAN.NS,168.2,179.55,186.85,0.11,0.0,-0.02,0.03,0.01
MHRIL.NS,393.55,409.51,438.25,0.11,0.0,-0.03,0.05,0.01
AARTIIND.NS,701.4,712.99,786.45,0.11,0.0,-0.03,0.03,0.01
LT.NS,1337.45,1420.01,1490.7,0.11,0.0,-0.02,0.03,0.01
COALINDIA.NS,287.85,308.58,322.15,0.11,0.0,-0.03,0.05,0.02
THERMAX.NS,769.8,806.37,859.8,0.11,0.0,-0.03,0.04,0.02
BHARATFORG.NS,911.95,938.11,1017.75,0.11,0.0,-0.03,0.05,0.02
CARBORUNIV.NS,240.85,253.83,268.15,0.11,0.0,-0.02,0.04,0.01
SUVEN.NS,163.45,174.5,181.75,0.11,0.0,-0.03,0.04,0.02
TRITURBINE.NS,114.85,119.29,128.5,0.11,0.0,-0.04,0.05,0.02
JMFINANCIL.NS,66.7,70.89,74.7,0.11,0.0,-0.04,0.09,0.02
BERGEPAINT.NS,202.6,213.51,225.4,0.11,0.0,-0.05,0.05,0.02
JKLAKSHMI.NS,339.25,365.74,380.55,0.11,0.0,-0.02,0.04,0.01
RPOWER.NS,41.2,43.71,45.65,0.1,0.0,-0.04,0.02,0.01
POWERGRID.NS,182.3,194.9,202.15,0.1,0.0,-0.02,0.04,0.01
SHRIRAMCIT.NS,1770.75,1896.75,1959.7,0.1,0.0,-0.07,0.06,0.02
TATAMOTORS.NS,465.65,510.63,512.85,0.1,0.0,-0.04,0.04,0.02
TATAPOWER.NS,73.95,78.12,81.6,0.1,0.0,-0.02,0.03,0.01
TATASPONGE.NS,559.95,601.05,617.35,0.1,0.0,-0.03,0.03,0.01
SUPRAJIT.NS,188.4,194.79,207.6,0.1,0.0,-0.02,0.07,0.02
SOLARINDS.NS,660.65,700.05,727.7,0.1,0.0,-0.02,0.05,0.01
SBIN.NS,249.15,256.78,275.85,0.1,0.0,-0.03,0.04,0.01
VAKRANGEE.NS,273.95,289.63,303.2,0.1,0.0,-0.02,0.04,0.01
CANBK.NS,279.7,280.52,309.45,0.1,0.0,-0.06,0.04,0.02
GULFOILLUB.NS,635.55,658.94,700.05,0.1,0.0,-0.07,0.06,0.02
IPAPPM.NS,295.85,313.26,326.05,0.1,0.0,-0.04,0.05,0.02
EIHOTEL.NS,94.95,98.32,104.55,0.1,0.0,-0.03,0.03,0.01
WELCORP.NS,79.45,80.84,88.05,0.1,0.0,-0.08,0.07,0.02
AXISBANK.NS,438.1,463.66,485.25,0.1,0.0,-0.07,0.04,0.02
TVSMOTOR.NS,370.65,382.79,408.0,0.1,0.0,-0.04,0.05,0.02
KTKBANK.NS,108.45,116.76,119.15,0.09,0.0,-0.05,0.04,0.02
IDFC.NS,51.7,56.09,56.8,0.09,0.0,-0.04,0.06,0.02
BFUTILITIE.NS,386.6,388.24,421.95,0.09,0.0,-0.04,0.04,0.02
