,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
JAGRAN,2016-08-18,2017-01-03,184.96,11.72,185.1,180.4,-2.54,-6.92,5.48
HEXAWARE,2016-08-18,2017-01-03,199.32,8.53,216.1,210.35,-2.66,-5.02,7.58
PAGEIND,2016-08-18,2017-01-03,14593.51,1176.43,14177.2,13790.8,-2.73,-7.92,6.49
JAICORPLTD,2016-08-18,2017-01-03,69.98,6.02,76.8,74.6,-2.86,-9.2,10.6
FINPIPE,2016-08-18,2017-01-03,448.05,21.07,458.15,445.0,-2.87,-4.96,7.42
INFY,2016-08-18,2017-01-03,1005.46,39.18,1023.4,993.85,-2.89,-2.47,5.07
RELIGARE,2016-08-18,2017-01-03,264.18,7.77,258.1,250.15,-3.08,-8.69,5.88
JCHAC,2016-08-18,2017-01-03,1461.71,93.64,1419.05,1375.25,-3.09,-7.09,11.52
AMARAJABAT,2016-08-18,2017-01-03,966.71,59.73,918.8,889.7,-3.17,-9.11,6.75
FAGBEARING,2016-08-18,2017-01-03,4097.55,154.66,4052.0,3920.75,-3.24,-2.76,3.06
FORTIS,2016-08-18,2017-01-03,175.1,6.55,193.8,187.5,-3.25,-6.8,6.32
LAKSHVILAS,2016-08-18,2017-01-03,148.28,6.14,144.9,140.15,-3.28,-12.8,7.11
MOTHERSUMI,2016-08-18,2017-01-03,318.8,12.09,334.85,323.45,-3.4,-7.57,5.79
ITC,2016-08-18,2017-01-03,242.43,11.01,252.15,243.35,-3.49,-3.23,4.02
SEQUENT,2016-08-18,2017-01-03,123.89,11.16,118.95,114.7,-3.57,-9.37,19.99
CADILAHC,2016-08-18,2017-01-03,384.43,15.86,367.95,354.8,-3.57,-5.79,7.05
EDELWEISS,2016-08-18,2017-01-03,107.28,11.49,103.8,99.85,-3.81,-10.08,8.01
BANKBARODA,2016-08-18,2017-01-03,160.68,7.07,154.5,148.6,-3.82,-8.96,9.13
BANKINDIA,2016-08-18,2017-01-03,114.92,4.6,112.65,108.35,-3.82,-8.21,13.12
HINDCOPPER,2016-08-18,2017-01-03,61.27,3.48,64.85,62.35,-3.86,-5.38,8.1
SIMPLEXINF,2016-08-18,2017-01-03,312.71,22.89,295.5,283.65,-4.01,-5.22,8.24
FINCABLES,2016-08-18,2017-01-03,424.93,16.22,429.2,411.7,-4.08,-11.38,7.51
SADBHAV,2016-08-18,2017-01-03,279.79,9.43,287.8,275.85,-4.15,-3.29,3.92
PTC,2016-08-18,2017-01-03,75.54,4.23,77.25,74.0,-4.21,-7.49,3.82
TATASPONGE,2016-08-18,2017-01-03,586.1,33.77,613.05,586.8,-4.28,-7.59,12.93
LICHSGFIN,2016-08-18,2017-01-03,562.4,25.98,555.25,531.3,-4.31,-7.79,6.83
SRF,2016-08-18,2017-01-03,1667.37,142.57,1620.85,1550.2,-4.36,-5.64,10.08
DCBBANK,2016-08-18,2017-01-03,117.31,8.43,116.85,111.5,-4.58,-13.56,3.91
PVR,2016-08-18,2017-01-03,1171.78,59.72,1228.1,1170.25,-4.71,-5.69,7.42
CARBORUNIV,2016-08-18,2017-01-03,267.37,14.66,266.4,253.8,-4.73,-5.62,6.04
CASTROLIND,2016-08-18,2017-01-03,429.33,37.25,405.1,385.7,-4.79,-4.44,9.44
MHRIL,2016-08-18,2017-01-03,437.49,31.61,424.9,403.95,-4.93,-3.75,7.67
TVTODAY,2016-08-18,2017-01-03,306.51,22.8,302.8,287.8,-4.95,-9.77,8.34
HDFCBANK,2016-08-18,2017-01-03,1243.11,42.06,1252.5,1189.9,-5.0,-1.91,2.47
RELCAPITAL,2016-08-18,2017-01-03,497.95,56.2,465.95,442.35,-5.06,-6.19,8.68
PFIZER,2016-08-18,2017-01-03,1879.88,73.64,1916.6,1818.05,-5.14,-4.22,3.25
TV18BRDCST,2016-08-18,2017-01-03,41.04,3.68,39.3,37.25,-5.22,-9.11,9.19
LUPIN,2016-08-18,2017-01-03,1498.34,39.86,1588.4,1505.5,-5.22,-3.37,6.88
UNICHEMLAB,2016-08-18,2017-01-03,271.43,12.13,275.1,260.75,-5.22,-6.56,5.84
MTNL,2016-08-18,2017-01-03,19.49,1.5,21.05,19.95,-5.23,-5.84,9.14
UNIONBANK,2016-08-18,2017-01-03,140.99,7.89,133.45,126.25,-5.4,-7.26,11.15
PERSISTENT,2016-08-18,2017-01-03,629.49,29.55,664.1,627.8,-5.47,-4.16,5.19
HTMEDIA,2016-08-18,2017-01-03,79.91,6.56,78.2,73.85,-5.56,-6.15,5.9
TATACOFFEE,2016-08-18,2017-01-03,123.03,8.24,123.85,116.9,-5.61,-5.84,6.59
TRITURBINE,2016-08-18,2017-01-03,121.97,4.11,127.6,120.3,-5.72,-5.05,3.86
PRAJIND,2016-08-18,2017-01-03,82.87,5.26,89.15,84.0,-5.78,-6.83,5.07
VIPIND,2016-08-18,2017-01-03,129.06,9.94,130.8,123.2,-5.81,-9.04,5.97
CUMMINSIND,2016-08-18,2017-01-03,852.33,55.55,895.85,842.9,-5.91,-3.54,3.32
BAJAJCORP,2016-08-18,2017-01-03,387.97,17.42,400.55,376.85,-5.92,-3.35,2.63
